#NODE	PGRANK	INEDGE
4037	32.78003956577033	457
15	26.182232792152522	361
6634	25.52045381601827	203
2625	23.363213430426544	331
2398	18.560440612566072	340
2470	17.956636080296242	149
2237	17.763499139922153	181
4191	16.135765578293153	259
7553	15.437632402115964	190
5254	15.297965481695817	265
2328	14.509333799073088	266
1186	14.482825289332524	193
1297	13.844656925740008	309
4335	13.780064769106396	228
7620	13.74675320046231	208
5412	13.65308554538626	219
7632	13.573587694638961	178
4875	13.332182897457015	181
6946	12.866929643830874	117
3352	12.69284904158419	264
6832	12.580622281240398	170
2654	12.572076585082817	213
762	12.395368327715982	272
737	12.377495496395236	231
2066	12.207194454856706	254
8293	12.133264809677401	164
3089	12.10980361204212	244
28	12.015882361235912	122
2535	11.855039897033006	232
3334	11.789278032914886	217
214	11.750543276356158	175
665	11.690414873751735	97
4735	11.520631444843414	195
6774	11.489928541498834	113
7092	11.395581741043587	155
2565	11.036635961210044	274
5484	10.978596135444318	153
8042	10.507450787585784	55
4310	10.402114131744478	131
5423	10.086405183594568	97
1211	10.086084797988558	188
3456	10.081010137394943	223
2657	9.713338139520928	165
5404	9.704534100625708	117
5233	9.689091299322207	149
4712	9.547536767474563	197
271	9.436334776762573	192
4828	9.253945309055744	141
5079	9.243555082418586	165
4261	9.148151764894516	92
5210	9.10926743994232	158
8163	8.988066371895195	43
6914	8.968518207770028	124
3459	8.945803134936122	191
2285	8.8344345177116	79
1549	8.833336245735088	245
1842	8.78836239494878	147
4666	8.622890214068718	145
993	8.539769206614006	181
3084	8.420477898742583	153
3562	8.382847962832605	136
1026	8.345043435803419	189
5123	8.288128430594814	108
2958	8.245794646474414	129
3537	8.141765325668812	193
3117	8.138170934290256	186
2576	8.111381902720657	192
2643	7.977390639458613	100
922	7.898019322287017	51
5022	7.882965948633643	162
299	7.85538942091291	158
1855	7.836973662009473	105
3897	7.819742160939383	186
2651	7.817389276294699	162
4110	7.801465795022701	102
282	7.647370260711332	101
4600	7.6163489734817125	113
1031	7.607478882182321	68
4687	7.602160912120232	101
7699	7.579923642810756	79
4536	7.573969551356927	173
2871	7.570519846515837	162
2746	7.569222369860859	101
3443	7.561124185281369	141
3755	7.551622967065674	121
1385	7.537653768155035	128
3568	7.482902768083878	134
5459	7.468059129291763	175
5543	7.464417557720273	145
4400	7.422254484000836	115
2485	7.325272808525168	160
1633	7.236921589266846	195
7890	7.216057730186757	74
3976	7.2072161310013465	148
4256	7.197484959312786	100
1726	7.0890849670469915	60
3238	7.048611528655889	145
2323	7.020718092624891	130
6784	6.987641187727524	115
3034	6.965553977547926	130
3192	6.936168472999763	146
2859	6.894216845462942	94
6006	6.886085101256915	109
6327	6.877533958155861	122
4247	6.8725350833775245	126
825	6.85812592521792	105
3898	6.835904343476809	69
4099	6.786327174965845	164
3498	6.740905232625562	83
55	6.738275013282578	67
7021	6.731501012408882	93
4796	6.727636633614249	61
4983	6.71763150134826	89
4981	6.686571496652856	87
6560	6.599131019563751	140
407	6.597565928058028	135
5179	6.515434445335638	101
56	6.5067529221217635	149
8294	6.493804390853745	105
4402	6.465664543565812	49
3408	6.454036493274226	112
7809	6.373124831454315	124
6334	6.354190261197071	43
4661	6.32943335378273	76
2594	6.280905436884577	127
6555	6.264653133151767	111
5288	6.20696571214702	126
6299	6.186271747201794	104
2256	6.169293543363277	107
5524	6.1682835042776505	149
5563	6.098985273451379	106
1754	6.096749382462603	122
3005	6.096656099941773	133
6004	6.0732002137936	88
7961	6.036138189210623	84
2210	6.029501647259686	133
86	6.016848135923919	108
3962	5.952024184688791	99
7862	5.929941146803639	53
6044	5.911689953885758	73
2144	5.891537823107403	111
1717	5.889083678820227	117
2508	5.844377118076395	117
3650	5.836051811011343	108
5605	5.814719640273976	90
1412	5.794200146788667	29
5226	5.78289524199236	75
7478	5.777132688310785	92
2790	5.776237053218274	127
1982	5.760535344362864	136
2516	5.735853287198755	167
5002	5.735685975653246	135
3026	5.724473381999966	113
1956	5.714609752936026	144
5963	5.689988735556923	90
7414	5.687120092854632	95
4531	5.671034315859778	68
3321	5.656781857615101	88
5200	5.586224833069032	88
2504	5.571936590118324	99
2775	5.5651891495897345	151
3024	5.561461179858477	104
941	5.549385883330286	66
72	5.53619332608492	154
7214	5.535934443514414	55
4071	5.5355768771545035	74
95	5.5311502219714965	39
5800	5.528909580241251	139
5839	5.511774131476054	85
1453	5.48719518744527	116
974	5.482508584263282	93
7803	5.4822303598384	54
7131	5.4778484798502465	68
6414	5.456142044863424	94
6833	5.446763637759394	95
3140	5.412466774764802	89
644	5.386100300789389	54
8295	5.369095830860987	118
4709	5.362620130722564	75
4041	5.3474265683062105	82
3439	5.324809498627648	100
2585	5.305444595118083	116
3260	5.2996124906631445	99
1080	5.289510910428568	53
6123	5.257467562465076	89
7882	5.238733674044532	41
4011	5.2162075392361125	103
3265	5.210970764347031	92
2653	5.200070800305076	162
3454	5.197480239893995	94
417	5.194467581658945	107
600	5.193175881612948	77
5445	5.192300963418352	58
2877	5.178581470573824	82
3873	5.173660015385742	77
3010	5.171044282945054	46
6665	5.154753579186355	114
4653	5.153386520653071	110
7908	5.148730212987813	85
1310	5.141736352667611	64
6148	5.13720224670927	60
3796	5.1191270416376184	132
1638	5.094066579010537	41
3586	5.07645097973367	88
3130	5.066977982662472	66
2160	5.050665937689283	93
3516	5.017464752157315	110
5714	4.998815225437694	107
6156	4.983548670805554	85
6979	4.978736669075757	105
35	4.954640541277643	110
4940	4.92905870808564	78
2134	4.921369783452534	81
2785	4.903275529156957	95
5020	4.901835903057534	109
1193	4.883970972348932	99
5055	4.883694698872489	78
4798	4.879968523934064	54
5697	4.878152460089448	104
2354	4.857017743494217	118
6458	4.855285672555493	67
4349	4.838922977915595	52
6330	4.838884905825712	80
2151	4.82641043664374	66
3634	4.822708599080593	105
2411	4.802462363482179	140
2660	4.800092187898822	128
8178	4.797041640756864	54
7115	4.796473377328999	88
4179	4.790303186747729	100
3615	4.770756756012201	106
4827	4.76530084066154	72
6124	4.762234974437501	71
5178	4.753402282272885	117
5321	4.726374414411611	88
2517	4.719079521176244	83
3030	4.719030144869647	74
2774	4.708108563846379	107
1919	4.701708215636517	128
290	4.66537831685423	136
3892	4.663148024583058	94
7587	4.653909571863143	93
4124	4.651382964826822	123
5596	4.647725438140369	72
3394	4.624656080375402	82
3645	4.623684706385916	90
2433	4.6107152378246345	79
1723	4.609664942581813	76
3136	4.606269401609282	83
8174	4.602254515693873	80
2297	4.599129326685959	107
4201	4.575290895590086	85
5814	4.573195524155028	104
2117	4.559448863456752	105
6496	4.553938998383408	85
1437	4.539602834713109	47
3643	4.506655419567801	115
7649	4.499071005614914	58
2940	4.4940944819887045	63
4792	4.481186984025912	60
7860	4.480564235207911	40
5479	4.478414740303485	43
2114	4.474471201989207	82
3307	4.463501484437148	81
2658	4.455944662960722	77
8192	4.450596374795379	71
4040	4.442747746861013	74
4138	4.442559250863366	60
5162	4.427218624972307	52
5773	4.427132045661446	78
6523	4.420731937670482	89
6618	4.3899176384457395	69
6780	4.368240623290662	61
896	4.359663621702612	83
1893	4.357388286124396	93
2251	4.350936478513206	87
6913	4.334728822480284	90
6229	4.329928620897773	70
5818	4.312993265185169	77
978	4.312489282145216	95
5693	4.293564897935428	61
4578	4.289097959250428	97
1859	4.288727728677382	61
840	4.271941732282327	63
4557	4.256384716685889	29
756	4.2474800873104765	64
2619	4.241762627199002	110
